Media,Tactic,Week_start,Year,Quarter,Month,Week,Spending
Digital - Round Bread,DIGITAL,2020-02-03,2020,1,2,6,0.0
Digital - Holiday \ 70th,DIGITAL,2020-02-03,2020,1,2,6,0.0
Digital - Boosted Organic Posts,DIGITAL,2020-02-03,2020,1,2,6,0.0
TV - ABC\GMA,TV,2020-02-10,2020,1,2,7,61030.0
TV - ABC\GMA3,TV,2020-02-10,2020,1,2,7,17607.75
TV - Today Show,TV,2020-02-10,2020,1,2,7,49492.1
TV - E!,TV,2020-02-10,2020,1,2,7,0.0
TV - Fox News,TV,2020-02-10,2020,1,2,7,25020.6
TV - Weather Channel,TV,2020-02-10,2020,1,2,7,23343.788
TV - Recipe.TV,TV,2020-02-10,2020,1,2,7,374.204
TV - Simulmedia,TV,2020-02-10,2020,1,2,7,210000.0
TV - FreeWheel,TV,2020-02-10,2020,1,2,7,120000.0
TV - Kelly Clarkson Show,TV,2020-02-10,2020,1,2,7,0.0
TV - Sinclair (Global Citizen),TV,2020-02-10,2020,1,2,7,0.0
TV - Cadent (Addressable),TV,2020-02-10,2020,1,2,7,0.0
Sinclair - Local Market (TV),TV,2020-02-10,2020,1,2,7,59976.0
Sponsorship - GMA,SPONSORSHIP,2020-02-10,2020,1,2,7,600000.0
Sponsorship - Today Show,SPONSORSHIP,2020-02-10,2020,1,2,7,0.0
Sponsorship - Access Live,SPONSORSHIP,2020-02-10,2020,1,2,7,0.0
Sponsorship - E!,SPONSORSHIP,2020-02-10,2020,1,2,7,0.0
Sponsorship - Kelly Clarkson Show,SPONSORSHIP,2020-02-10,2020,1,2,7,0.0
Radio - NYC Pop Up,RADIO,2020-02-10,2020,1,2,7,3775.0
Print - FNMagazine \ MSL Holiday,PRINT,2020-02-10,2020,1,2,7,22081.25
OOH - Billups,BILLBOARD,2020-02-10,2020,1,2,7,124993.75
Ambassador - Jenna Fischer,INFLUENCER,2020-02-10,2020,1,2,7,0.0
Sinclair - Local Market (Digital),DIGITAL,2020-02-10,2020,1,2,7,0.0
GMA (Digital),DIGITAL,2020-02-10,2020,1,2,7,9140.875
NBCU - Today Show (Digital),DIGITAL,2020-02-10,2020,1,2,7,0.0
NBCU - Access Live (Digital),DIGITAL,2020-02-10,2020,1,2,7,0.0
NBCU - E! (Digital),DIGITAL,2020-02-10,2020,1,2,7,0.0
NBCU - Tasty,DIGITAL,2020-02-10,2020,1,2,7,53070.595
NBCU - Apple News,DIGITAL,2020-02-10,2020,1,2,7,6755.46333333333
Kelly Clarkson Show (BTS - Digital),DIGITAL,2020-02-10,2020,1,2,7,0.0
KH Digital - Super Bowl (Tastemade),DIGITAL,2020-02-10,2020,1,2,7,0.0
KH Digital - Super Bowl (Influencers),DIGITAL,2020-02-10,2020,1,2,7,0.0
KH Digital - Breakfast (Tastemade),DIGITAL,2020-02-10,2020,1,2,7,103333.33
